borrower_id,age,monthly_income,credit_score,loan_amount,interest_rate,loan_tenure_months,days_past_due,number_of_missed_payments,contact_response_rate,prior_collection_attempts,customer_tenure,emi_amount,last_payment_amount,outstanding_balance,recovered,debt_to_income_ratio,payment_behavior_score,delinquency_index,employment_status_Retired,employment_status_Self-Employed,employment_status_Unemployed,preferred_contact_channel_Phone,preferred_contact_channel_SMS,preferred_contact_channel_WhatsApp,region_East,region_North,region_South,region_West,repayment_status_Defaulted,repayment_status_Late
BRW-00001,1.230639086316293,0.8234620502720311,0.7230208420259605,1.6588140568692535,-1.2122842425591382,-0.3873503278328495,0.29745298068959813,-0.8024136848061495,-0.5174644286484329,-0.9374857850237454,1.4307743159146498,0.31671644895893925,-0.6190774611598125,2.2336972442982614,0,0.7900942840640636,-0.7506317838737626,-0.8035420475613804,False,True,False,False,True,False,False,True,False,False,False,True
BRW-00002,0.4549642931712775,-0.1986333217622991,1.5319864400254308,-0.08817492623630084,-1.3598642594756263,0.8593517250569137,0.7894302657807877,0.5507291226241195,1.7799382587875732,-0.6235043445308305,1.2869958203789527,-0.599569076981447,-0.4041806911174707,0.314818637760685,1,0.13026621835447116,0.7777766785623623,0.5357533684151348,False,True,False,True,False,False,False,True,False,False,True,False
BRW-00003,-0.6309804172317443,0.29740697239082875,0.008121011235730861,-1.1725160134612531,-0.26144727642576504,1.4827027515017952,-0.08910060045347933,-1.614299369264311,0.05688624321056842,-0.9374857850237454,0.13676785609337644,-0.8200515363318791,-0.7042744925347751,-0.78514919088371,0,-0.6596283386046179,0.35575379013683495,-1.572321893590196,False,False,False,True,False,False,False,False,False,True,False,True
BRW-00004,1.5409090035742992,1.6767245155308335,-0.46220782481047284,-1.3755233748464089,-1.0225385065236534,-0.3873503278328495,1.1232719949498091,-0.8024136848061495,0.24833646716356908,0.632421417440829,0.6831261391290252,-0.780486357044533,-0.5320181679874644,-1.0344411496201324,0,-0.8451830223598423,1.4441274556948354,0.400205342931107,False,True,False,True,False,False,False,True,False,False,True,False
BRW-00005,-1.173952772433255,-2.1402278581539984,-0.3869552110430803,-0.8027114277053178,-0.7400281884263763,1.4827027515017952,-0.26480677370033273,1.0919862455962273,1.333221069563905,0.3184399769479142,-0.7834145153350845,-0.7608495646612917,-0.5435553714131158,-0.04360825117199538,0,1.734950325374065,0.45069996931511436,0.7299714347803091,False,False,False,False,False,True,False,False,False,False,False,True
BRW-00006,-0.16557554134473493,0.41458470417370574,1.2686022918395568,0.23365899770330906,-0.12019211737712644,-1.010701354277731,0.8245715004301584,-1.614299369264311,1.014137362975571,-0.30952290403791555,0.6256147409147463,0.5062352151251549,0.9930188146123949,-0.5628796857064255,1,-0.5467922745324997,2.109885330935049,-0.7549875309700866,False,True,False,False,False,False,False,False,False,False,True,False
BRW-00007,1.230639086316293,2.1482295915623624,1.4567338262580383,1.5364791214087372,-0.94031535424161,-1.010701354277731,2.124797182456873,1.362614807082281,0.1845197258459022,-0.30952290403791555,1.229484422164674,1.3814683192693198,0.3001851332132806,2.249796682306685,0,0.350442397336536,-1.2599148181128208,1.996435075869884,False,False,False,False,False,True,False,False,True,False,True,False
BRW-00008,-0.320710499973738,0.282110634790193,-1.2586313205153778,-0.6994530673555006,-0.9044744929904629,1.4827027515017952,-0.29994800834970337,1.633243368568335,0.5674201737519031,-0.6235043445308305,-0.6683917189065269,-0.7461129961106713,-0.553359717102613,-0.6784179728764713,0,-0.5970091987437258,-0.4253860859106169,0.636908611313663,False,True,False,False,False,True,True,False,False,False,False,True
BRW-00009,-0.010440582715731827,1.6599274051844746,-0.8384708936474359,-0.6779579597233432,1.1384545983249221,-1.010701354277731,-0.05395936580410864,0.5507291226241195,0.63123691506957,-0.30952290403791555,-0.8696816126565028,-0.11457669920426139,-0.0608832835140778,-0.1628225261064235,0,-0.4916346343115874,0.021570595308338374,0.19587175227607975,False,False,False,False,False,False,False,False,False,False,False,True
BRW-00010,-0.9412503344897505,-0.6353132212801565,0.2903183128634531,-0.07106059929674345,0.1454519130725521,-1.322376867500172,-0.0363887484794233,0.28010056113806575,-1.7299825136841025,-0.30952290403791555,-1.0134601081922,1.436047302807047,0.257766626527177,-0.7389272066093762,1,-0.5098622532317227,-1.4384511557596888,0.023907839348581376,False,True,False,False,False,True,True,False,False,False,False,True
