log_id,borrower_id,channel,message,timestamp,status
5629b5b7-0e7d-4725-86d5-4f3401c3cdb4,BRW-04407,Chatbot,"CHATBOT: Hello BRW-04407, your account BRW-04407 is significantly overdue (₹5,198.13, 87 days).  We'd like to help you find a resolution.  Reply YES to schedule a call with an advisor.",2026-03-09T21:14:09.926917,sent
d32f83ee-b7fe-4572-8196-fef4d59a43dd,BRW-04975,Chatbot,"CHATBOT: Hello BRW-04975, your account BRW-04975 is significantly overdue (₹55,244.03, 151 days).  We'd like to help you find a resolution.  Reply YES to schedule a call with an advisor.",2026-03-09T21:14:09.926973,sent
4e026930-c1d9-4664-abb5-49ade700dcd3,BRW-00560,Chatbot,"CHATBOT: Hello BRW-00560, your account BRW-00560 is significantly overdue (₹191,318.99, 183 days).  We'd like to help you find a resolution.  Reply YES to schedule a call with an advisor.",2026-03-09T21:14:09.927010,sent
b2fc6b53-58be-4d1d-a922-90da5add8799,BRW-04416,Chatbot,"CHATBOT: Hello BRW-04416, your account BRW-04416 is significantly overdue (₹138,287.52, 218 days).  We'd like to help you find a resolution.  Reply YES to schedule a call with an advisor.",2026-03-09T21:14:09.927043,sent
13f3bf2b-9bfd-401d-8cbb-b450d199b6c4,BRW-00347,Chatbot,"CHATBOT: Hello BRW-00347, your account BRW-00347 is significantly overdue (₹67,672.40, 162 days).  We'd like to help you find a resolution.  Reply YES to schedule a call with an advisor.",2026-03-09T21:14:09.927075,sent
ffa72f83-37e6-491d-90f9-213463e4269b,BRW-00627,Chatbot,"CHATBOT: Hello BRW-00627, your account BRW-00627 is significantly overdue (₹406,130.75, 288 days).  We'd like to help you find a resolution.  Reply YES to schedule a call with an advisor.",2026-03-09T21:14:09.927106,sent
6ef45995-7ec1-4725-8635-a0afcd7cb98d,BRW-01486,Chatbot,"CHATBOT: Hello BRW-01486, your account BRW-01486 is significantly overdue (₹47,818.69, 23 days).  We'd like to help you find a resolution.  Reply YES to schedule a call with an advisor.",2026-03-09T21:14:09.927137,sent
b96e0535-1222-4a37-b610-f5227c69b0a8,BRW-04350,Chatbot,"CHATBOT: Hello BRW-04350, your account BRW-04350 is significantly overdue (₹149,382.99, 179 days).  We'd like to help you find a resolution.  Reply YES to schedule a call with an advisor.",2026-03-09T21:14:09.927166,sent
1b775a79-655c-4d5e-90ab-54787d2b37e8,BRW-04719,Chatbot,"CHATBOT: Hello BRW-04719, your account BRW-04719 is significantly overdue (₹8,758.67, 19 days).  We'd like to help you find a resolution.  Reply YES to schedule a call with an advisor.",2026-03-09T21:14:09.927197,sent
57294ee9-a99b-4264-afc1-ee17cfdffb89,BRW-01770,Chatbot,"CHATBOT: Hello BRW-01770, your account BRW-01770 is significantly overdue (₹99,412.72, 31 days).  We'd like to help you find a resolution.  Reply YES to schedule a call with an advisor.",2026-03-09T21:14:09.927227,sent
21b0af3f-c82f-4ef7-ba94-2b3fc152723f,BRW-03989,Chatbot,"CHATBOT: Hello BRW-03989, your account BRW-03989 is significantly overdue (₹184,013.26, 45 days).  We'd like to help you find a resolution.  Reply YES to schedule a call with an advisor.",2026-03-09T21:14:09.927256,sent
